# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1873
#@/user_id	657779a0-85c3-4e22-ba13-4b7898ef35e3
a5 	啊	c=2 d=1.98511 t=1040
dian3 shang4 	點上	c=1 d=1 t=1566
dian4 	電	c=1 d=1 t=1098
dian4 hua4 	電話	c=2 d=1.97045 t=1268
dian4 nao3 	電腦	c=3 d=1.64236 t=1859
dian4 nao3 yi3 zi5 	電腦椅子	c=1 d=1 t=1750
dian4 nao3 zhuo1 	電腦桌	c=1 d=1 t=1452
dian4 shang4 	墊上	c=9 d=2.40193 t=1795
dian4 shang4 chu1 ji2 	墊上初級	c=1 d=1 t=1052
dian4 shang4 gao1 ji2 	墊上高級	c=1 d=1 t=1053
ding4 	定	c=0 d=0.1 t=191
ding4 de5 shi2 hou4 	定的時候	c=1 d=1 t=192
ding4 le5 	定了	c=1 d=1.047 t=346
dong4 tai4 	動態	c=2 d=1.00022 t=1806
dong4 zuo4 	動作	c=13 d=4.20465 t=1543
dong4 zuo4 ming2 	動作名	c=1 d=1 t=1345
dou1 	都	c=1 d=1.00005 t=1775
dou1 bu4 	都不	c=0 d=0.1 t=505
dou1 bu4 ken3 	都不肯	c=1 d=1 t=506
dou1 bu4 shi4 	都不是	c=1 d=1 t=527
dou1 shen1 qing3 guo4 	都申請過	c=1 d=1 t=267
dou1 shi4 	都是	c=0 d=0.1 t=330
dou1 shi4 zhi1 chi2 	都是支持	c=1 d=1 t=331
du2 	讀	c=1 d=1 t=933
du2 chuang4 	獨創	c=1 d=1 t=21
dui4 	對	c=3 d=1.49769 t=1182
dui4 ba1 	對吧	c=1 d=1 t=1164
dui4 cheng4 	對稱	c=0 d=0.1 t=30
dui4 de5 	對的	c=1 d=1 t=901
dui4 ma5 	對嗎	c=1 d=1 t=1406
dui4 wo3 men5 	對我們	c=1 d=1 t=489
duo1 ben3 	多本	c=1 d=1 t=111
duo1 ci4 	多次	c=1 d=1 t=1679
duo1 nian2 	多年	c=2 d=1.00029 t=1653
duo1 shao3 	多少	c=1 d=1 t=1759
er2 	而	c=1 d=0.407279 t=538
er2 cun2 zai4 	而存在	c=1 d=1 t=539
er2 shi4 	而是	c=1 d=1 t=543
er3 duo5 	耳朵	c=0 d=0.1 t=1415
er4 	二	c=2 d=1.42741 t=1646
er4 wei2 ma3 	二維碼	c=1 d=1 t=713
fa1 	發	c=2 d=1.00144 t=1468
fa1 biao3 	發表	c=1 d=1 t=223
fa1 gei3 	發給	c=1 d=1 t=998
fa1 hui1 	發揮	c=1 d=1 t=1768
fa1 huo4 	發貨	c=2 d=1.96561 t=1599
fa1 le5 	發了	c=1 d=1 t=935
fa1 sheng1 	發生	c=0 d=0.1 t=213
fa1 sheng1 le5 	發生了	c=1 d=1 t=214
fa1 xian4 	發現	c=0 d=0.1 t=401
fa1 you2 jian4 	發郵件	c=1 d=1.06473 t=1016
fa1 you2 jian4 gei3 ni3 	發郵件給你	c=1 d=1 t=930
fa1 zhan3 	發展	c=1 d=0.45058 t=482
fan1 shu1 	翻書	c=1 d=1 t=1352
fan1 yi4 	翻譯	c=1 d=1 t=741
fan3 er2 	反而	c=1 d=1 t=507
fan4 chou2 	範疇	c=1 d=1 t=607
fang1 fa3 	方法	c=4 d=1.24463 t=1610
fang1 fa3 xie2 hui4 	方法協會	c=1 d=1 t=473
fang1 xing2 	方形	c=1 d=1 t=1155
fang3 hua2 	訪華	c=2 d=1.72615 t=1669
fang4 	放	c=1 d=1 t=1433
fei1 	非	c=0 d=0.1 t=1138
fei1 chang2 	非常	c=1 d=1 t=656
fei1 chang2 zhong4 shi4 	非常重視	c=1 d=1 t=274
fei1 gong1 neng2 	非功能	c=1 d=1 t=1139
fei1 li4 pu3 	飛利浦	c=2 d=1.98511 t=1247
fei1 ying2 li4 	非盈利	c=1 d=1 t=230
fei4 yong4 	費用	c=2 d=1.96079 t=135
fen1 hui4 	分會	c=2 d=1.00214 t=1613
fen1 hui4 zhang1 	分會張	c=1 d=1 t=672
fen1 kai1 	分開	c=1 d=0.110358 t=1309
fen1 kai1 le5 	分開了	c=1 d=1 t=1310
fen1 xi1 	分析	c=1 d=1 t=48
fen4 	份	c=3 d=1.44417 t=1399
feng4 	縫	c=1 d=1 t=1391
fu2 he2 	符合	c=2 d=1.27117 t=625
fu3 wo4 	俯臥	c=4 d=3.85371 t=1812
fu3 wo4 cheng1 	俯臥撐	c=1 d=1 t=1290
fu4 jian4 	附件	c=5 d=1.79889 t=1870
fu4 yuan2 	復原	c=1 d=1 t=1385
fu4 za2 	複雜	c=1 d=1 t=1147
fu4 ze2 	負責	c=0 d=0.1 t=474
fu4 zhong4 	負重	c=2 d=1.99843 t=1838
gai3 hao3 	改好	c=1 d=1 t=1447
gan3 xie4 	感謝	c=0 d=0.16005 t=1571
gan3 xie4 ge4 wei4 	感謝各位	c=1 d=1 t=1572
gan3 xie4 ni3 de5 	感謝你的	c=1 d=1 t=1470
gao1 	高	c=3 d=1.41343 t=1700
gao1 di1 	高低	c=0 d=0.1 t=39
gao1 di1 jian1 	高低肩	c=1 d=1 t=40
gao1 ji2 	高級	c=10 d=2.67368 t=1568
gao3 hu2 tu2 	搞糊塗	c=0 d=0.1 t=56
gao4 su4 	告訴	c=1 d=1 t=1693
gao4 su4 da4 jia1 	告訴大家	c=1 d=1 t=674
ge2 shi4 	格式	c=3 d=1.03029 t=1013
ge4 	個	c=7 d=3.31972 t=1541
ge4 	各	c=2 d=1.25924 t=1577
ge4 wei4 	各位	c=0 d=0.1 t=1571
ge4 yue4 	個月	c=1 d=1 t=595
gei3 	給	c=1 d=1 t=354
gei3 le5 	給了	c=1 d=1 t=1398
gei3 ni3 	給你	c=2 d=1.55895 t=1017
gei3 ni3 dai4 lai2 le5 	給你帶來了	c=1 d=1 t=310
gei3 ta1 	給他	c=0 d=0.1 t=1436
gei3 ta1 yin4 	給他印	c=1 d=1 t=1437
gei3 wo3 	給我	c=0 d=0.199501 t=1235
gei3 wo3 yi1 bian4 	給我一遍	c=1 d=1 t=1235
gen1 	跟	c=2 d=1.01271 t=1767
geng1 hao3 de5 	更好地	c=1 d=1 t=247
geng4 	更	c=1 d=1.09753 t=863
geng4 ju4 you3 	更具有	c=1 d=1 t=859
gong1 kai1 	公開	c=0 d=0.268214 t=387
gong1 kai1 xin4 	公開信	c=1 d=1 t=200
gong1 neng2 	功能	c=1 d=0.349075 t=1138
gong1 neng2 xing4 	功能性	c=1 d=1 t=1141
gong1 zuo4 	工作	c=0 d=0.1 t=434
gong1 zuo4 fang1 	工作坊	c=5 d=2.60306 t=1705
gou1 tong1 	溝通	c=1 d=1 t=1683
gou4 	夠	c=1 d=1 t=961
gu2 tou5 	骨頭	c=1 d=1 t=867
gu3 pen2 	骨盆	c=2 d=1.04727 t=1482
gu3 pen2 di3 ji1 	骨盆底肌	c=1 d=1 t=1330
guan1 wang3 	官網	c=1 d=0.837123 t=388
guan1 zhuang4 	冠狀	c=0 d=0.1 t=1784
guan1 zhuang4 mian4 	冠狀麪	c=2 d=1.99005 t=1787
guan3 li3 	館裏	c=1 d=1 t=1722
gui4 zi1 	跪姿	c=1 d=1 t=1281
gun3 	滾	c=1 d=1 t=1204
gun3 dong4 	滾動	c=1 d=1 t=1211
guo2 	膕	c=1 d=1 t=1393
guo2 ji4 	國際	c=6 d=0.725809 t=1459
guo2 ji4 pu3 la1 ti2 	國際普拉提	c=1 d=1 t=472
guo2 ji4 ren4 zheng4 	國際認證	c=7 d=2.11431 t=1563
guo2 ji4 ren4 zheng4 pei2 xun4 	國際認證培訓	c=2 d=1.9802 t=996
guo4 	過	c=0 d=0.1 t=266
hai2 	孩	c=0 d=0.1 t=143
hai2 	還	c=1 d=0.314381 t=880
hai2 bu4 tong2 yan2 se4 	還不同顏色	c=1 d=1 t=881
hai2 you3 	還有	c=2 d=1.99501 t=1441
hai2 zhi1 bao3 	孩之寶	c=1 d=1 t=144
hai3 bao4 	海報	c=1 d=1 t=916
hai3 bao4 	海豹	c=1 d=1 t=1286
han2 	含	c=1 d=1 t=136
han2 guo2 	韓國	c=1 d=1 t=264
hang2 ye4 	行業	c=6 d=2.46563 t=694
hang2 ye4 fa1 zhan3 	行業發展	c=1 d=1 t=342
hao3 	好	c=2 d=1.65377 t=1124
hao3 ba1 	好吧	c=3 d=1.19352 t=1246
hao3 chu3 	好處	c=2 d=1.01304 t=1179
hao3 de5 	好的	c=2 d=1.38868 t=1596
hao3 le5 	好了	c=1 d=1 t=925
hao3 ma5 	好嗎	c=1 d=1 t=1600
hao3 xiang4 	好像	c=1 d=1 t=922
hao4 ma3 	號碼	c=1 d=1 t=184
he2 	合	c=1 d=1 t=1657
he2 	和	c=13 d=5.665 t=1740
he2 bei3 	河北	c=0 d=0.1 t=735
he2 bei3 chong2 li3 	河北崇禮	c=1 d=1 t=736
he2 da4 lu4 	和大陸	c=1 d=1 t=392
he2 xiang1 gang3 	和香港	c=1 d=1 t=266
he2 xie2 	和諧	c=1 d=1 t=1143
he2 xuan1 chuan2 	和宣傳	c=1 d=1 t=664
he2 zhe2 xue2 	和哲學	c=1 d=1 t=1534
he2 zi5 	盒子	c=1 d=1.09005 t=1411
hen3 	很	c=2 d=1.08125 t=1686
hen3 duo1 	很多	c=1 d=1 t=804
hen3 lv4 	很綠	c=1 d=1 t=1820
hen3 rong2 xing4 huan1 ying2 	很榮幸歡迎	c=1 d=1 t=1614
hen3 yi2 han4 	很遺憾	c=1 d=1 t=501
hen3 zhong4 	很重	c=1 d=1 t=280
hen3 zhong4 yao1 	很重要	c=1 d=1 t=843
hong2 guan1 	宏觀	c=1 d=1 t=1138
hou4 	後	c=1 d=0.143283 t=1279
hou4 qing1 	後傾	c=1 d=1 t=1483
hou4 shou1 	後收	c=1 d=1 t=1829
hou4 zhi1 cheng1 	後支撐	c=1 d=1 t=1280
hu1 	呼	c=5 d=3.62395 t=1486
hu1 qi4 	呼氣	c=1 d=1 t=1395
hu1 xi1 	呼吸	c=1 d=1 t=1781
hu2 ge1 	胡歌	c=1 d=1 t=1304
hu4 zhao4 	護照	c=1 d=1 t=186
hua2 	滑	c=2 d=1.39653 t=914
hua2 ban3 	滑板	c=3 d=1.30283 t=1156
hua2 xue3 	滑雪	c=1 d=1 t=724
hua4 quan1 	畫圈	c=1 d=0.544858 t=1364
huan1 ying2 	歡迎	c=1 d=0.101957 t=1613
huan4 you3 	患有	c=1 d=1 t=1728
hui2 da2 	回答	c=1 d=1 t=1166
hui2 dao4 	回到	c=1 d=1 t=1174
hui2 fu4 	回覆	c=1 d=1 t=1185
hui2 gui1 	回歸	c=1 d=1 t=754
hui2 li4 bang4 	回力棒	c=2 d=1.63763 t=1375
hui4 	會	c=3 d=1.15207 t=696
hui4 de5 	會的	c=1 d=1 t=294
hui4 fei4 	會費	c=1 d=1.09277 t=304
hui4 hou4 	會後	c=1 d=1 t=11
hui4 kan1 	會刊	c=2 d=1.06822 t=707
hui4 yuan2 	會員	c=4 d=1.14604 t=512
huo2 dong4 fan4 wei2 	活動範圍	c=1 d=1 t=1116
huo4 	或	c=3 d=1.34464 t=1524
huo4 	貨	c=1 d=1 t=1423
huo4 de2 	獲得	c=2 d=1.27665 t=615
huo4 qu3 	獲取	c=1 d=1 t=599
huo4 si1 jiao4 	或私教	c=1 d=1 t=1525
ji1 	肌	c=0 d=0.1 t=1329
ji1 ben3 	基本	c=1 d=1 t=824
ji1 chu3 	基礎	c=1 d=1 t=1713
ji1 dong4 	激動	c=0 d=0.1 t=1686
ji1 dong4 de5 	激動的	c=1 d=1 t=1687
ji1 gou4 	機構	c=2 d=1.00122 t=1746
ji1 hui4 	機會	c=1 d=1 t=1676
ji1 rou4 	肌肉	c=2 d=2.09005 t=1111
ji2 	及	c=0 d=0.1 t=1297
ji2 bie2 	級別	c=1 d=1 t=1515
ji2 jie2 mo2 yan2 	及結膜炎	c=1 d=1 t=1298
ji2 zhe5 	急着	c=1 d=1 t=1594
ji3 	幾	c=1 d=1 t=1770
ji3 ge5 	幾個	c=1 d=1 t=254
ji3 nian2 	幾年	c=1 d=1 t=458
ji3 zhu4 	脊柱	c=7 d=2.3095 t=1789
ji4 hua4 	計劃	c=1 d=1 t=166
ji4 qiao3 	技巧	c=0 d=0.1 t=1388
ji4 ran2 	既然	c=1 d=1 t=632
ji4 shu4 	技術	c=2 d=1.00463 t=1176
ji4 xu4 	繼續	c=1 d=0.529557 t=651
ji4 xu4 can1 jia1 	繼續參加	c=1 d=1 t=652
jia1 	加	c=4 d=1.96103 t=1589
jia1 da4 	加大	c=1 d=1.09418 t=891
jia1 da4 le5 	加大了	c=1 d=1 t=880
jia1 le5 	加了	c=1 d=1 t=712
jia1 shang4 	加上	c=2 d=1.96079 t=855
jia1 xuan2 zhuan3 	加旋轉	c=2 d=1.96561 t=1364
jia4 	架	c=1 d=1 t=1158
jia4 ge2 	價格	c=1 d=1 t=793
jian1 	肩	c=2 d=1.09757 t=1835
jian1 bang3 	肩膀	c=0 d=0.1 t=1812
jian1 bang3 xia4 	肩膀下	c=2 d=1.93239 t=1827
jian1 ju4 	艱鉅	c=1 d=1 t=557
jian1 qiao2 	肩橋	c=2 d=1.54335 t=1348
jian3 cheng1 	簡稱	c=1 d=1 t=285
jian3 dan1 	簡單	c=1 d=1.00101 t=1146
jian3 dao1 	剪刀	c=1 d=1.06219 t=1316
jian3 dao1 tui3 	剪刀腿	c=1 d=1 t=1222
jian3 jie4 	簡介	c=1 d=1 t=119
jian4 	見	c=1 d=1 t=1869
jian4 kang1 	健康	c=2 d=1.02362 t=1187
jian4 kang1 de5 	健康的	c=1 d=1 t=683
jian4 pan2 	鍵盤	c=2 d=1.03614 t=1842
jian4 shen1 	健身	c=0 d=0.1 t=9
jiang1 jiang4 	將匠	c=1 d=1 t=1392
jiang3 yi4 	講義	c=1 d=1 t=1118
jiang4 jie1 	降階	c=2 d=1.02799 t=1545
jiao1 cha1 	交叉	c=0 d=0.1 t=1373
jiao1 liu2 	交流	c=1 d=1 t=293
jiao1 liu2 hui4 	交流會	c=1 d=0.637944 t=743
jiao3 	腳	c=4 d=3.28592 t=978
jiao3 	角	c=1 d=1 t=126
jiao3 huai2 	腳踝	c=6 d=5.61756 t=984
jiao3 huai2 de5 	腳踝的	c=1 d=1 t=965
jiao4 	叫	c=1 d=1 t=645
jiao4 	教	c=3 d=1.68356 t=1815
jiao4 cai2 	教材	c=2 d=1.00411 t=1841
jiao4 lian4 	教練	c=4 d=2.31982 t=580
jiao4 shi1 	教師	c=2 d=1.99501 t=1793
jiao4 xue2 	教學	c=2 d=0.130205 t=1633
jiao4 xue2 ji4 qiao3 	教學技巧	c=2 d=1.4607 t=1544
jiao4 yu4 	教育	c=1 d=1 t=616
jie1 	皆	c=1 d=1 t=1427
jie1 chu4 	接觸	c=0 d=0.1 t=1420
jie1 kou3 	接口	c=1 d=1 t=1232
jie2 gou4 	結構	c=0 d=0.1 t=971
jie2 he2 	結合	c=0 d=0.1 t=1500
jie2 mo2 yan2 	結膜炎	c=0 d=0.1 t=1297
jie2 zhang4 	結帳	c=1 d=1 t=1756
jie3 jue2 	解決	c=2 d=1.8781 t=54
jie4 shao4 	介紹	c=7 d=2.33959 t=1708
jie4 shao4 le5 	介紹了	c=1 d=1 t=756
jin1 hou4 	今後	c=1 d=1 t=684
jin1 nian2 	今年	c=1 d=1 t=316
jin1 tian1 	今天	c=3 d=2.27865 t=1684
jin4 jie1 	進階	c=2 d=0.413824 t=1545
jin4 jie1 he2 jiang4 jie1 	進階和降階	c=1 d=1 t=1546
jin4 xing2 	進行	c=2 d=1.94163 t=1731
jin4 xing2 kang1 fu4 	進行康復	c=1 d=1 t=1732
jin4 zhan3 	進展	c=0 d=0.1 t=733
jing1 dian3 	經典	c=0 d=0.1 t=744
jing1 dian3 pu3 la1 ti2 	經典普拉提	c=1 d=1 t=745
jing1 guo4 	經過	c=2 d=1.8825 t=1677
jing1 yan4 	經驗	c=2 d=1.00061 t=1635
jing4 li3 	敬禮	c=1 d=1 t=1294
jiu3 dian4 	酒店	c=1 d=1 t=147
jiu4 	就	c=4 d=1.00703 t=1771
jiu4 jin1 shan1 	舊金山	c=2 d=1.63445 t=104
jiu4 mu4 qian2 	就目前	c=1 d=1 t=653
jiu4 shi4 	就是	c=1 d=1 t=1763
jiu4 yong4 	就用	c=1 d=1 t=1006
ju3 ban4 	舉辦	c=1 d=1 t=1671
ju4 ti3 	具體	c=1 d=1 t=1527
ju4 you3 	具有	c=0 d=0.1 t=858
ju4 zi3 	鉅子	c=2 d=1.44264 t=1376
juan3 	捲	c=0 d=0.1 t=1483
juan3 hou4 	捲後	c=1 d=1 t=1199
juan3 qi3 	捲起	c=1 d=1 t=1363
juan3 shang4 	捲上	c=2 d=1.88692 t=1220
juan3 xiong1 	捲胸	c=1 d=1 t=1356
jue2 da4 duo1 shu4 	絕大多數	c=1 d=1 t=1105
jue2 de5 	覺得	c=1 d=1 t=300
ka3 di2 la1 ke4 	卡迪拉克	c=1 d=1 t=1498
kai1 de5 	開的	c=1 d=1 t=1651
kai1 le5 	開了	c=1 d=1 t=1744
kai1 ping2 qi4 	開瓶器	c=1 d=1 t=1212
kai1 shi3 	開始	c=2 d=1.00159 t=1641
kan1 dao4 	看到	c=1 d=1 t=479
